Pathway ID,Pathway Name,Step Num,Enzyme,Location,Energy,Reversible
52,"Bilirubin Transport, Conjugation and Excretion",3,"UDP-Glucuronosyl Transferase (UGT) / Bilirubin-UDP-Glucuronosyl Transferase","Hepatocyte (ER)","0 (UDP-GlcUA)",false
52,"Bilirubin Transport, Conjugation and Excretion",4,"MRP-2 (Multidrug Resistance Protein 2 / MOAT)","Hepatocyte (canalicular)","0",false
52,"Bilirubin Transport, Conjugation and Excretion",5,"Bacterial β-glucuronidases + Reductases","Intestinal lumen","0",false
53,"De Novo Purine Synthesis",1,"PRPP Synthetase","Cytosol","-ATP → AMP",false
53,"De Novo Purine Synthesis",2,"Glutamine-PRPP Amidotransferase — Committed Rate-Limiting Step","Cytosol","0",false
53,"De Novo Purine Synthesis",3,"Sequential Ring-Building Enzymes (Steps 3–10)","Cytosol","-multiple ATP",false
53,"De Novo Purine Synthesis",4,"Adenylosuccinate Synthetase (for AMP) / IMP Dehydrogenase (for GMP)","Cytosol","0",false
54,"Purine Salvage Pathway",1,"Adenine Phosphoribosyl Transferase (APRTase)","Cytosol","0 (PRPP)",false
54,"Purine Salvage Pathway",2,"HGPRTase (Hypoxanthine-Guanine Phosphoribosyl Transferase)","Cytosol","0 (PRPP)",false
54,"Purine Salvage Pathway",3,"HGPRTase","Cytosol","0 (PRPP)",false
55,"Purine Nucleotide Degradation (Uric Acid Formation)",1,"AMP Deaminase","Cytosol","0",false
55,"Purine Nucleotide Degradation (Uric Acid Formation)",2,"5'-Nucleotidase","Cytosol","0",false
55,"Purine Nucleotide Degradation (Uric Acid Formation)",3,"Purine Nucleoside Phosphorylase (PNP)","Cytosol","0",false
55,"Purine Nucleotide Degradation (Uric Acid Formation)",4,"Guanase (Guanine Deaminase)","Cytosol","0",false
55,"Purine Nucleotide Degradation (Uric Acid Formation)",5,"Xanthine Oxidase (two successive oxidations)","Cytosol","0 (XO: FAD + Mo)",false
56,"De Novo Pyrimidine Synthesis",1,"CPS-II (Carbamoyl Phosphate Synthetase II) — cytoplasmic","Cytosol","-2 ATP (Gln)",false
56,"De Novo Pyrimidine Synthesis",2,"Aspartate Transcarbamoylase (ATC)","Cytosol","0",false
56,"De Novo Pyrimidine Synthesis",3,"Dihydroorotase (DHOase)","Cytosol","0",false
56,"De Novo Pyrimidine Synthesis",4,"Dihydroorotate Dehydrogenase (DHODH)","Mitochondria","+1 NADH",false
56,"De Novo Pyrimidine Synthesis",5,"OPRTase (Orotate Phosphoribosyl Transferase)","Cytosol","0 (PRPP)",false
56,"De Novo Pyrimidine Synthesis",6,"OMP Decarboxylase (OMPDC)","Cytosol","0",false
56,"De Novo Pyrimidine Synthesis",7,"UMP Kinase + Nucleoside Diphosphate Kinase","Cytosol","-2 ATP",false
56,"De Novo Pyrimidine Synthesis",8,"CTP Synthetase","Cytosol","-1 ATP",false
57,"Pyrimidine Degradation",1,"Cytosine Deaminase","Cytosol","0",false
57,"Pyrimidine Degradation",2,"Dihydropyrimidine Dehydrogenase (DPD)","Mitochondria","-2 NADPH",false
57,"Pyrimidine Degradation",3,"Dihydropyrimidinase","Cytosol","0",true
57,"Pyrimidine Degradation",4,"β-Ureidopropionase","Cytosol","0",false
57,"Pyrimidine Degradation",5,"Same enzyme cascade as Uracil","Cytosol","-2 NADPH",false
58,"Deoxyribonucleotide Synthesis (Ribonucleotide Reductase)",1,"Ribonucleotide Reductase (RNR)","Nucleus + Cytosol","+NADPH (Thioredoxin)",false
58,"Deoxyribonucleotide Synthesis (Ribonucleotide Reductase)",2,"Nucleoside Diphosphate Kinase (NDPK)","Nucleus + Cytosol","0",true
58,"Deoxyribonucleotide Synthesis (Ribonucleotide Reductase)",3,"dUTPase","Nucleus + Cytosol","0",false
58,"Deoxyribonucleotide Synthesis (Ribonucleotide Reductase)",4,"Thymidylate Synthase","Nucleus + Cytosol","+Methylene-THFA → DHF",false
